chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1635710807,2021-10-31T20:06:47Z,VE7BVU-1,VE7BVU-1,78(19/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710817,2021-10-31T20:06:57Z,VE7BVU-1,VE7BVU-1,75(20/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710827,2021-10-31T20:07:07Z,VE7BVU-1,VE7BVU-1,75(19/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710837,2021-10-31T20:07:17Z,VE7BVU-1,VE7BVU-1,75(19/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710847,2021-10-31T20:07:27Z,VE7BVU-1,VE7BVU-1,76(19/32),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710917,2021-10-31T20:08:37Z,VE7BVU-1,VE7BVU-1,80(20/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710927,2021-10-31T20:08:47Z,VE7BVU-1,VE7BVU-1,74(19/32),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ/ʟ8>
0,1635710938,2021-10-31T20:08:58Z,VE7BVU-1,VE7BVU-1,85(18/33),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ>ʟ>ʟ?!
0,1635710948,2021-10-31T20:09:08Z,VE7BVU-1,VE7BVU-1,81(18/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ*ʟ:ʟ>!
0,1635710958,2021-10-31T20:09:18Z,VE7BVU-1,VE7BVU-1,84(19/30),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ?ʟ:ʟ>>
0,1635710968,2021-10-31T20:09:28Z,VE7BVU-1,VE7BVU-1,88(19/33),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ:ʟ3ʟ*!
0,1635710978,2021-10-31T20:09:38Z,VE7BVU-1,VE7BVU-1,87(20/32),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635710988,2021-10-31T20:09:48Z,VE7BVU-1,VE7BVU-1,76(19/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ3ʟ/*
0,1635710998,2021-10-31T20:09:58Z,VE7BVU-1,VE7BVU-1,75(19/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ*ʟ*ʟ**
0,1635711008,2021-10-31T20:10:08Z,VE7BVU-1,VE7BVU-1,76(19/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ*ʟ*ʟ//
0,1635711018,2021-10-31T20:10:18Z,VE7BVU-1,VE7BVU-1,83(20/31),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ*ʟ*ʟ**
0,1635711028,2021-10-31T20:10:28Z,VE7BVU-1,VE7BVU-1,84(19/33),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
0,1635711038,2021-10-31T20:10:38Z,VE7BVU-1,VE7BVU-1,86(19/32),0,/,VE7BVU-1,/b,-0.000000,0.000000,,,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,NN!!NN!!NN!!NN!!NN!!NN!!ʟ!ʟ!ʟ!!
